code,nl
"function transferFromPreSigned ( bytes _signature , address _from , address _to , uint256 _value , uint256 _fee , uint256 _nonce ) public returns ( bool ) { require ( icoLockUntil < now ) ; require ( _to != address ( 0 ) ) ; require ( signatures [ _signature ] == false ) ; bytes32 hashedTx = transferFromPreSignedHashing ( address ( this ) , _from , _to , _value , _fee , _nonce ) ; address spender = recover ( hashedTx , _signature ) ; require ( spender != address ( 0 ) ) ; checkValue ( spender , _fee ) ; checkValue ( _from , _value ) ; balances [ _from ] = balances [ _from ] . sub ( _value ) ; balances [ _to ] = balances [ _to ] . add ( _value ) ; allowed [ _from ] [ spender ] = allowed [ _from ] [ spender ] . sub ( _value ) ; balances [ spender ] = balances [ spender ] . sub ( _fee ) ; balances [ msg . sender ] = balances [ msg . sender ] . add ( _fee ) ; signatures [ _signature ] = true ; emit Transfer ( _from , _to , _value ) ; emit Transfer ( spender , msg . sender , _fee ) ; return true ; }
","Transfer tokens from one address to another
"
"function totalSupply ( ) public view returns ( uint256 ) { return totalSupply ; }
","Used to get the total supply
"
"function approve ( address _to , uint256 _tokenId ) external payable { require ( msg . value == 0 ) ; address owner = _ownerOf ( _tokenId ) ; require ( _to != owner ) ; require ( msg . sender == owner || _isApprovedForAll ( owner , msg . sender ) ) ; _tokenApprovals [ _tokenId ] = _to ; emit Approval ( owner , _to , _tokenId ) ; }
","Change or reaffirm the approved address for an NFT
"
"function register ( string _identifier , uint _version , Template _template ) public { require ( opened || msg . sender == owner ) ; require ( _template . supportsInterface ( 0x01ffc9a7 ) ) ; require ( _template . supportsInterface ( 0xd48445ff ) ) ; address registrant = registrantOfIdentifier [ _identifier ] ; require ( registrant == address ( 0 ) || registrant == msg . sender , ""identifier already registered by another registrant"" ) ; if ( registrant == address ( 0 ) ) { identifiers . push ( _identifier ) ; registrantOfIdentifier [ _identifier ] = msg . sender ; } uint [ ] storage versions = versionsOfIdentifier [ _identifier ] ; if ( versions . length > 0 ) { require ( _version > versions [ versions . length - 1 ] , ""new version must be greater than old versions"" ) ; } versions . push ( _version ) ; templateOfVersionOfIdentifier [ _identifier ] [ _version ] = _template ; }
","Registers a new ` Template ` .
"
"function isDeregistered ( address _darknodeID ) public view returns ( bool ) { uint256 deregisteredAt = store . darknodeDeregisteredAt ( _darknodeID ) ; return deregisteredAt != 0 && deregisteredAt <= currentEpoch . blocknumber ; }
","Returns if a darknode is in the deregistered state .
"
"function disqualifyHopeful ( uint withId ) pre_cond ( isOracle ( ) ) { hopefuls [ withId ] . isDisqualified = true ; }
","Disqualify and participant
"
"function _isOnSale ( Sale memory _sale ) internal pure returns ( bool ) { return ( _sale . startedAt > 0 ) ; }
","Internal function to check if an
"
"function transferPreSignedHashing ( address _token , address _to , uint256 _value , uint256 _fee , uint256 _nonce , uint256 _validUntil ) public pure returns ( bytes32 ) { return keccak256 ( bytes4 ( 0x0d2d1bf5 ) , _token , _to , _value , _fee , _nonce , _validUntil ) ; }
","Hash ( keccak256 ) of the payload used by transferPreSigned
"
"function totalSupply ( ) public view returns ( uint256 _totalSupply ) { return totalSupply ; }
","Used to retrieve total supply
"
"function ICOSplit ( ) external isAdmin oneTime { uint i ; if ( ! isFrozen ) { require ( ( relativeDateSave - now ) >= ( relativeDateSave - 150 days ) ) ; assetFreeze ( ) ; require ( balances [ selfAddress ] > 50000000000000 ) ; currentProfits = ( ( balances [ selfAddress ] - 50000000000000 ) / 10 ) * 7 ; amountInCirculation = safeSub ( 300000000000000 , balances [ selfAddress ] ) ; currentIteration = 0 ; actualProfitSplit = 0 ; } else { for ( i = currentIteration ; i < users . length ; i ++ ) { if ( msg . gas < 240000 ) { currentIteration = i ; break ; } actualProfitSplit += ( balances [ users [ i ] ] * currentProfits ) / amountInCirculation ; balances [ users [ i ] ] += ( balances [ users [ i ] ] * currentProfits ) / amountInCirculation ; if ( i == users . length - 1 ) { assetThaw ( ) ; balances [ selfAddress ] = balances [ selfAddress ] - actualProfitSplit ; hasICORun = true ; } Transfer ( selfAddress , users [ i ] , ( balances [ users [ i ] ] / amountInCirculation ) * currentProfits ) ; } } }
","Split the unsold WBC of the ICO
"
"function _mintFish ( address _owner , uint32 _weight , uint8 _power , uint8 _agility , uint8 _speed , bytes16 _color ) internal { fishes . length += 1 ; uint256 newFishId = fishes . length - 1 ; Fish storage newFish = fishes [ newFishId ] ; newFish . owner = _owner ; newFish . weight = _weight ; newFish . power = _power ; newFish . agility = _agility ; newFish . speed = _speed ; newFish . color = _color ; balances [ _owner ] ++ ; Transfer ( address ( 0 ) , _owner , newFishId ) ; }
","Internal method for minting a fish
"
"function transfer ( address _to , uint256 _value ) returns ( bool ) { require ( _to != address ( 0 ) ) ; balances [ msg . sender ] = balances [ msg . sender ] . sub ( _value ) ; balances [ _to ] = balances [ _to ] . add ( _value ) ; Transfer ( msg . sender , _to , _value ) ; return true ; }
","send ` _value ` token to ` _to `
"
"function updateGiver ( uint64 idGiver , address newAddr , string newName , string newUrl , uint64 newCommitTime ) { PledgeAdmin storage giver = findAdmin ( idGiver ) ; require ( giver . adminType == PledgeAdminType . Giver ) ; require ( giver . addr == msg . sender ) ; giver . addr = newAddr ; giver . name = newName ; giver . url = newUrl ; giver . commitTime = newCommitTime ; GiverUpdated ( idGiver ) ; }
","Updates a Giver 's info to change the address , name , url , or commitTime , it can not be used to change a plugin , and it must be called by the current address of the Giver
"
"function getOrderPriceInfo ( address sellAsset , address buyAsset , uint sellQuantity , uint buyQuantity ) view returns ( uint orderPrice ) { return mul ( buyQuantity , 10 ** uint ( getDecimals ( sellAsset ) ) ) / sellQuantity ; }
","Gets price of Order
"
"function claimReward ( uint _challengeID , uint _salt ) public { require ( challenges [ _challengeID ] . tokenClaims [ msg . sender ] == false ) ; require ( challenges [ _challengeID ] . resolved == true ) ; uint voterTokens = voting . getNumPassingTokens ( msg . sender , _challengeID , _salt ) ; uint reward = voterReward ( msg . sender , _challengeID , _salt ) ; challenges [ _challengeID ] . winningTokens -= voterTokens ; challenges [ _challengeID ] . rewardPool -= reward ; require ( token . transfer ( msg . sender , reward ) ) ; challenges [ _challengeID ] . tokenClaims [ msg . sender ] = true ; }
","claim the tokens owed for the msg.sender in the provided challenge
"
"function claimProfitEquivalent ( ) public { uint256 toPay ; for ( uint k = 0 ; k <= yearsPast . length - 1 ; k ++ ) { toPay += snapShot [ yearsPast [ k ] ] [ msg . sender ] ; snapShot [ yearsPast [ k ] ] [ msg . sender ] = 0 ; } msg . sender . transfer ( toPay ) ; peLastPeriod -= toPay ; }
","Allow user to claim his PE on his Ethereum Address .
"
"function removeFromWhitelist ( address [ ] _bidder_addresses ) public isWhitelister { for ( uint32 i = 0 ; i < _bidder_addresses . length ; i ++ ) { whitelist [ _bidder_addresses [ i ] ] = false ; } }
","Removes account addresses from whitelist .
"
"function getTime ( ) internal view returns ( uint256 ) { return now ; }
","This function is overrided by the test Mocks .
"
"function QToken ( address target , uint256 qAmount ) onlyOwner public { balanceOf [ target ] += qAmount ; totalSupply += qAmount ; emit Transfer ( 0 , this , qAmount ) ; emit Transfer ( this , target , qAmount ) ; }
","Create ` qAmount ` tokens and send it to ` target `
"
"function getMembersArrayLength ( ) public view returns ( uint256 ) { return membersArray . length ; }
","Called in order to get the number of members on the platform
"
"function unlockMiner ( ) public locked onlyOwner { require ( block . timestamp >= minerRelaseTime ) ; require ( minerLockedAmount > 0 ) ; uint256 amount = token . balanceOf ( this ) ; require ( amount >= minerLockedAmount ) ; token . transfer ( minerLockAddress , minerLockedAmount ) ; minerLockedAmount = 0 ; }
","Transfers tokens held by timelock to miner .
"
"function setCurrentPrice ( uint256 newPrice ) public onlyOwner { currentPrice = newPrice ; }
","Allows the owner of this contract to set the currentPrice for each token
"
"function finalize ( bool _forceRefund ) onlyOwner public returns ( bool ) { if ( isFinalized ) { error ( 'finalize: ICO is already finalized.' ) ; return false ; } if ( weisRaised >= weisSoftCap && ! _forceRefund ) { if ( ! SCRefundVault . close ( ) ) { error ( 'finalize: SCRefundVault.close() failed' ) ; return false ; } } else { if ( ! SCRefundVault . enableRefunds ( ) ) { error ( 'finalize: SCRefundVault.enableRefunds() failed' ) ; return false ; } if ( _forceRefund ) { emit ForceRefund ( ) ; } } uint256 balanceAmount = SCTokens . balanceOf ( this ) ; if ( ! SCTokens . transfer ( address ( SCEscrow ) , balanceAmount ) ) { error ( 'finalize: unable to return remaining ICO tokens' ) ; return false ; } if ( ! SCEscrow . deposit ( balanceAmount ) ) { error ( 'finalize: unable to return remaining ICO tokens' ) ; return false ; } isFinalized = true ; emit Finalized ( ) ; return true ; }
","Must be called by owner before or after ICO ends , to check whether soft cap is reached and transfer collected funds
"
"function registerDeed ( string propertyAddress , string document ) public { require ( __isSenderInRole ( ROLE_DEED_REGISTRANT ) ) ; uint256 documentHash = uint256 ( keccak256 ( document ) ) ; require ( documentRegistry [ documentHash ] == 0 ) ; require ( document . contains ( propertyAddress ) ) ; documentRegistry [ documentHash ] = now ; uint256 propertyAddressHash = uint256 ( keccak256 ( propertyAddress ) ) ; if ( addressRegistry [ propertyAddressHash ] . length == 0 ) { knownPropertyAddresses . push ( propertyAddress ) ; } addressRegistry [ propertyAddressHash ] . push ( document ) ; emit DeedRegistered ( propertyAddress , document ) ; }
","A ` document ` may not necessarily represent a document itself , it can also be its metadata or just a hash
"
"function calculateCurrentBlock ( uint256 _stakeNumber ) internal view returns ( uint256 currentBlock ) { currentBlock = block . number ; if ( currentBlock >= stakes [ msg . sender ] [ _stakeNumber ] . blockUnlocked ) { currentBlock = stakes [ msg . sender ] [ _stakeNumber ] . blockUnlocked ; } }
","This is a helper function used to calculate how many blocks to mint coins for
"
"function SetContractorManager ( address _contractorManager ) ;
","Function used by the creator to set the contractor manager smart contract
"
"function isSigned ( address _address , bytes32 messageHash , uint8 v , bytes32 r , bytes32 s ) public pure returns ( bool ) { return _isSigned ( _address , messageHash , v , r , s ) || _isSignedPrefixed ( _address , messageHash , v , r , s ) ; }
","Determines whether the passed signature of ` messageHash ` was made by the private key of ` _address ` .
"
"function commitVote ( uint _pollID , bytes32 _secretHash , uint _numTokens , uint _prevPollID ) external { require ( commitPeriodActive ( _pollID ) ) ; require ( voteTokenBalance [ msg . sender ] >= _numTokens ) ; require ( _pollID != 0 ) ; require ( _prevPollID == 0 || dllMap [ msg . sender ] . contains ( _prevPollID ) ) ; uint nextPollID = dllMap [ msg . sender ] . getNext ( _prevPollID ) ; nextPollID = ( nextPollID == _pollID ) ? dllMap [ msg . sender ] . getNext ( _pollID ) : nextPollID ; require ( validPosition ( _prevPollID , nextPollID , msg . sender , _numTokens ) ) ; dllMap [ msg . sender ] . insert ( _prevPollID , _pollID , nextPollID ) ; bytes32 UUID = attrUUID ( msg . sender , _pollID ) ; store . setAttribute ( UUID , ""numTokens"" , _numTokens ) ; store . setAttribute ( UUID , ""commitHash"" , uint ( _secretHash ) ) ; pollMap [ _pollID ] . didCommit [ msg . sender ] = true ; _VoteCommitted ( _pollID , _numTokens , msg . sender ) ; }
","Commits vote using hash of choice and secret salt to conceal vote until reveal
"
"function createDividendWithCheckpointAndExclusions ( uint256 _maturity , uint256 _expiry , uint256 _checkpointId , address [ ] _excluded , bytes32 _name ) public payable withPerm ( MANAGE ) { _createDividendWithCheckpointAndExclusions ( _maturity , _expiry , _checkpointId , _excluded , _name ) ; }
","Creates a dividend with a provided checkpoint , specifying explicit excluded addresses
"
"function totalSupply ( ) public view returns ( uint ) { return rabbits . length - 1 ; }
","Returns the total number of rabbits currently in existence .
"
"function staticChecks ( Trade [ ] trades , TradeFlag [ ] tradeFlags ) public view whenNotPaused { bool previousBuyOccured = false ; for ( uint256 i ; i < trades . length ; i ++ ) { Trade memory thisTrade = trades [ i ] ; if ( thisTrade . isSell ) { if ( previousBuyOccured ) { errorReporter . revertTx ( ""A buy has occured before this sell"" ) ; } if ( ! Utils . tokenAllowanceAndBalanceSet ( msg . sender , thisTrade . tokenAddress , thisTrade . tokenAmount , tokenTransferProxy ) ) { if ( ! thisTrade . optionalTrade ) { errorReporter . revertTx ( ""Taker has not sent allowance/balance on a non-optional trade"" ) ; } tradeFlags [ i ] . ignoreTrade = true ; continue ; } } else { previousBuyOccured = true ; } for ( uint256 j ; j < thisTrade . orders . length ; j ++ ) { Order memory thisOrder = thisTrade . orders [ j ] ; if ( ! handlerWhitelistMap [ thisOrder . exchangeHandler ] ) { tradeFlags [ i ] . ignoreOrder [ j ] = true ; continue ; } } } }
","Performs static checks on the rebalance payload before execution
"
"function channelsSold ( ) constant returns ( uint256 ) { return soldOut . channels ; }
","returns tokens sold via channels
"
"function onTransfer ( address _from , address _to , uint _amount ) public initialized returns ( bool ) { return false ; }
","Notifies the controller about a token transfer allowing the controller to react if desired
"
"function transferToAddress ( address to , uint256 value , bytes data ) public whenNotPaused afterCrowdsale returns ( bool _success ) { return super . transferToAddress ( to , value , data ) ; }
","Override the functions to not allow token transfers until the end of the ICO
"
"function setOracleURL ( string _oracleURL ) onlyOwner public { oracleURL = _oracleURL ; }
","Allows owner to set URL used in Oraclize queries
"
"function updateAsset ( address ofAsset , bytes32 inputName , bytes8 inputSymbol , uint inputDecimals , string inputUrl , string inputIpfsHash , address [ 2 ] ofBreakInBreakOut , uint [ ] inputStandards , bytes4 [ ] inputFunctionSignatures ) auth pre_cond ( assetInformation [ ofAsset ] . exists ) { Asset asset = assetInformation [ ofAsset ] ; asset . name = inputName ; asset . symbol = inputSymbol ; asset . decimals = inputDecimals ; asset . url = inputUrl ; asset . ipfsHash = inputIpfsHash ; asset . breakIn = ofBreakInBreakOut [ 0 ] ; asset . breakOut = ofBreakInBreakOut [ 1 ] ; asset . standards = inputStandards ; asset . functionSignatures = inputFunctionSignatures ; }
","Updates description information of a registered Asset
"
"function removeAttribute ( uint256 attributeTypeID ) external { require ( ! _attributeTypes [ attributeTypeID ] . restricted , ""only jurisdiction or issuing validator may remove a restricted attribute"" ) ; require ( _issuedAttributes [ msg . sender ] [ attributeTypeID ] . exists , ""only existing attributes may be removed"" ) ; address validator = _issuedAttributes [ msg . sender ] [ attributeTypeID ] . validator ; uint256 stake = _issuedAttributes [ msg . sender ] [ attributeTypeID ] . stake ; address refundAddress ; if ( _issuedAttributes [ msg . sender ] [ attributeTypeID ] . setPersonally ) { refundAddress = msg . sender ; } else { address operator = _issuedAttributes [ msg . sender ] [ attributeTypeID ] . operator ; if ( operator == address ( 0 ) ) { refundAddress = validator ; } else { refundAddress = operator ; } } delete _issuedAttributes [ msg . sender ] [ attributeTypeID ] ; emit AttributeRemoved ( validator , msg . sender , attributeTypeID ) ; if ( stake > 0 && address ( this ) . balance >= stake ) { if ( refundAddress . send ( stake ) ) { emit StakeRefunded ( refundAddress , attributeTypeID , stake ) ; } } }
","Remove an attribute of the type with ID ` attributeTypeID ` from account of ` msg.sender ` .
"
"function sell ( uint256 amount ) { require ( ! frozenAccount [ msg . sender ] ) ; require ( tokenBalanceOf [ msg . sender ] >= amount ) ; require ( amount > 0 ) ; require ( sellPrice > 0 ) ; _transfer ( msg . sender , this , amount ) ; uint256 revenue = amount * sellPrice ; require ( this . balance >= revenue ) ; uint commission = msg . value / sellCommission ; require ( address ( this ) . send ( commission ) ) ; msg . sender . transfer ( revenue ) ; }
","Sell metadollars and receive ether from contract
"
"function getCanvasesWithSellOffer ( bool includePrivateOffers ) external view returns ( uint32 [ ] ) { uint32 [ ] memory result = new uint32 [ ] ( canvases . length ) ; uint currentIndex = 0 ; for ( uint32 i = 0 ; i < canvases . length ; i ++ ) { SellOffer storage offer = canvasForSale [ i ] ; if ( offer . isForSale && ( includePrivateOffers || offer . onlySellTo == 0x0 ) ) { result [ currentIndex ] = i ; currentIndex ++ ; } } return _slice ( result , 0 , currentIndex ) ; }
","Returns array of canvas 's ids .
"
"function removeEmissionProvider ( address _provider , uint _block ) public returns ( uint _code ) { _code = _multisig ( keccak256 ( _provider ) , _block ) ; if ( OK != _code ) { return _code ; } delete emissionProviders [ _provider ] ; return OK ; }
","Remove emission provider
"
"function getSecurityTokenLaunchFee ( ) external view returns ( uint256 ) ;
","Gets the security token launch fee
"
"function claimTokens ( token _address ) public { require ( state == State . Successful ) ; require ( msg . sender == creator ) ; uint256 remainder = _address . balanceOf ( this ) ; _address . transfer ( creator , remainder ) ; }
","Function to claim any token stuck on contract
"
"function getCurrencySymbol ( ) external view returns ( bytes32 ) { return currencySymbol ; }
","Returns symbol of oracle currency ( 0x0 for ETH )
"
"function changeOwner ( address _newOwner ) onlyOwner public { owner = _newOwner ; }
","Changes the owner of the contract
"
"function getGameResult ( uint gameId ) public view returns ( GameResults ) { return games [ gameId ] . result ; }
","Returns the result of a specific game
"
"function buyFood ( uint32 _bundles ) external payable whenNotPaused returns ( bool ) { require ( newContractAddress == address ( 0 ) ) ; uint cost = _bundles * price ; require ( msg . value >= cost ) ; uint fundsExcess = msg . value - cost ; if ( fundsExcess > 1 finney ) { msg . sender . transfer ( fundsExcess ) ; } emit Bought ( msg . sender , _bundles ) ; return true ; }
","customer buy food
"
"function batchReclaimExpiredSwaps ( bytes32 msigId , bytes32 [ ] swapIds ) public { for ( uint i = 0 ; i < swapIds . length ; ++ i ) reclaimExpiredSwaps ( msigId , swapIds [ i ] ) ; }
","Reclaim all the expired , non-empty swaps into a multisig
"
"function close ( uint64 nonce , uint256 transferred_amount , bytes32 locksroot , bytes32 extra_hash , bytes signature ) { data . close ( nonce , transferred_amount , locksroot , extra_hash , signature ) ; ChannelClosed ( msg . sender , data . closed ) ; }
","Close the channel .
"
"function rename ( uint256 _tokenId , bytes8 _name ) public validId ( _tokenId ) returns ( uint64 ) { require ( isCreatorAndOwner ( msg . sender , _tokenId ) , ""Sender is not the creator and owner"" ) ; TokenLookup storage lookupData = tokenLookup [ _tokenId ] ; pixelconNames [ lookupData . tokenIndex ] = _name ; emit Rename ( _tokenId , _name ) ; return lookupData . tokenIndex ; }
","Rename PixelCon ` ( _tokenId ) `
"
"function getTypes ( ) external view returns ( uint8 [ ] ) { uint8 [ ] memory res = new uint8 [ ] ( 1 ) ; res [ 0 ] = 3 ; return res ; }
","Type of the Module factory
"
"function setupEventsHistory ( address _eventsHistory ) external auth returns ( uint ) { require ( _eventsHistory != 0x0 ) ; _setEventsHistory ( _eventsHistory ) ; return OK ; }
","Sets up events history address Allowed only for authorized roles .
"
"function contribute ( address _ref ) public notFinished payable { address referral = _ref ; uint256 referralBase = 0 ; uint256 referralTokens = 0 ; uint256 tokenBought = 0 ; if ( refLed [ msg . sender ] == 0 ) { refLed [ msg . sender ] = referral ; } else { referral = refLed [ msg . sender ] ; } totalRaised = totalRaised . add ( msg . value ) ; if ( state == State . stage1 ) { tokenBought = msg . value . mul ( rates [ 0 ] ) ; } else if ( state == State . stage2 ) { tokenBought = msg . value . mul ( rates [ 1 ] ) ; } else if ( state == State . stage3 ) { tokenBought = msg . value . mul ( rates [ 2 ] ) ; } else if ( state == State . stage4 ) { tokenBought = msg . value . mul ( rates [ 3 ] ) ; } else if ( state == State . stage5 ) { tokenBought = msg . value . mul ( rates [ 4 ] ) ; } referralBase = tokenBought ; if ( msg . value >= 5 ether ) { tokenBought = tokenBought . mul ( 102 ) ; tokenBought = tokenBought . div ( 100 ) ; } totalDistributed = totalDistributed . add ( tokenBought ) ; stageDistributed = stageDistributed . add ( tokenBought ) ; tokenReward . transfer ( msg . sender , tokenBought ) ; emit LogFundingReceived ( msg . sender , msg . value , totalRaised ) ; emit LogContributorsPayout ( msg . sender , tokenBought ) ; if ( referral != address ( 0 ) && referral != msg . sender ) { referralTokens = referralBase . div ( 20 ) ; totalDistributed = totalDistributed . add ( referralTokens ) ; stageDistributed = stageDistributed . add ( referralTokens ) ; tokenReward . transfer ( referral , referralTokens ) ; emit LogContributorsPayout ( referral , referralTokens ) ; } checkIfFundingCompleteOrExpired ( ) ; }
","contribution handler
"
"function issueNomins ( uint amount ) public optionalProxy requireIssuer ( messageSender ) { address sender = messageSender ; require ( amount <= remainingIssuableNomins ( sender ) ) ; uint lastTot = nomin . totalSupply ( ) ; uint preIssued = nominsIssued [ sender ] ; nomin . issue ( sender , amount ) ; nominsIssued [ sender ] = safeAdd ( preIssued , amount ) ; updateIssuanceData ( sender , preIssued , lastTot ) ; }
","Issue nomins against the sender 's havvens .
"
"function changeBeneficiary ( address _beneficiary ) public onlyOwner { beneficiary = _beneficiary ; }
","Owner can change beneficiary address
"
"function transfer ( address to , uint value ) public optionalProxy returns ( bool ) { address sender = messageSender ; require ( nominsIssued [ sender ] == 0 || value <= transferableHavvens ( sender ) , ""Value to transfer exceeds available havvens"" ) ; _transfer_byProxy ( sender , to , value ) ; return true ; }
","ERC20 transfer function .
"
"function _forwardFunds ( ) internal { }
","Stops the crowdsale contract from sending ethers .
"
"function setAllowedTransferTo ( address to , bool allowed ) public only ( ROLE_EURT_LEGAL_MANAGER ) { setAllowedTransferToPrivate ( to , allowed ) ; }
","enables or disables address to be receipient of EUR-T
"
"function yearlyOwnerTokenWithdrawal ( ) public onlyOwner { require ( crowdsaleClosed == true ) ; require ( ( ( now > stopTime + 1 years ) && ( yearlyTeamTokensPaid [ 0 ] == false ) ) || ( ( now > stopTime + 2 years ) && ( yearlyTeamTokensPaid [ 1 ] == false ) ) || ( ( now > stopTime + 3 years ) && ( yearlyTeamTokensPaid [ 2 ] == false ) ) ) ; tokenReward . transfer ( beneficiary , yearlyTeamAmount ) ; if ( yearlyTeamTokensPaid [ 0 ] == false ) yearlyTeamTokensPaid [ 0 ] = true ; else if ( yearlyTeamTokensPaid [ 1 ] == false ) yearlyTeamTokensPaid [ 1 ] = true ; else if ( yearlyTeamTokensPaid [ 2 ] == false ) yearlyTeamTokensPaid [ 2 ] = true ; }
","A function to withdraw team tokens .
"
